[INFO] Server Start (09/23/2021, 5:14:07 PM)
[INFO] Database connect (09/23/2021, 5:32:48 PM)
[INFO] Server Start (09/24/2021, 2:15:37 PM)
[DEBUG] Query.loginURL called by guest (09/24/2021, 2:16:16 PM)
[DEBUG] Mutation.login called by guest (09/24/2021, 2:16:56 PM)
[DEBUG] Query.users called by 난개발자가아니다 (09/24/2021, 2:17:13 PM)
[DEBUG] GraphQLTUser.discordID called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.discriminator called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.username called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.avatarURL called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.description called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.point called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.permissions called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.badges called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.following called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.follower called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.discordID called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.discriminator called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.username called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.avatarURL called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.description called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.point called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.permissions called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.badges called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.following called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.follower called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.discordID called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.discriminator called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.username called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.description called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.avatarURL called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.point called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.permissions called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.badges called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.following called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.follower called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.discordID called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.discriminator called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.username called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.avatarURL called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.description called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.point called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.permissions called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.badges called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.following called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.follower called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.discordID called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.discriminator called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.username called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.avatarURL called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.description called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.point called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.permissions called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.badges called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
[DEBUG] GraphQLTUser.following called by 난개발자가아니다 (09/24/2021, 2:17:19 PM)
